昵称,性别,地区,评论,点赞
燃烧的古都,男,湖北,主要还是看线下上没上，这种手机一般来说线下才是最可能卖得出去的，华为那个我去我这边的官方店看了看，确实有，还是鸿蒙4.0。至于小米那个就不知道了，没仔细找过,5
华山派掌门人任不群,男,广东,华为笔记本也溢价严重。基本华为没多少产品性能对得起价格的。,3
卑微且无助,男,广东,吓得我先缓存了,12
憨态可掬杰尼龟,男,浙江,红米这台定制机 一般是拉网线或者办套餐搭的 定价1999就是给人看着价格高 让你感觉搭套餐赚到了 正常渠道买不到其实也没啥 这种机器推了也没啥提成,58
姓王的污师傅,保密,山东,1999红米还能买k70e，1999华为能买啥[吃瓜],3
ASC233,男,四川,"小米那个是充话费送的吧，京东根本买不到。
现在note11tp不薄纱所有千元机，1149，12+256",1
宇宇啊-,保密,广东,note13r是运营商定制机，基本在网上买不到的[吃瓜],89
卢舍儿,男,山东,有没有可能11se是某为8年前的库存机[辣眼睛],5
小提比,男,江苏,合约机可不是充话费说的，而是充智商税送的，我这边200g流量的卡月租才30块钱还送了一条宽带，而运营商合约机套餐都是一百多一个月流量也就四十g，合约期还要两年，两年下来都两千多了，然后销售会和你说两千多也就是个套餐的钱，等于白送你手机，实际上流量都烂大街了，我另外一张大流量卡两年话费也就600多，相当于我多给运营商接近两千块钱的合约费，就为了这么个合约机，当然如果你现在就在用那些坑爹套餐，也许会觉得这个合约还可以，但实际上合约机就是个坑钱的玩意，尤其是这种标价贼高的，就是为了让他们话费减掉手机价格就很低，好推销罢了，这年头除了老一辈，谁还信这种合约机,3
iminmim,保密,江苏,小米这个手机用来送的吧，1999的定价让人觉得送的东西挺值钱,1
Jay-佑冉,保密,广东,红米这个根本买不到，专门买一个和华为对比也太无语了,1
王汤2015,保密,湖北,你们要比总要拿商城能买到的正常产品干嘛，非要去找别送的免费赠品比，虽然显得华为连不要钱的赠品都不如，但是这样的比法不对。。,3
Dummer丶小翔,保密,广东,第二轮制裁后nova系列就拉了,1
